SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class
43.7086106962626,3.62959305018703,33.5535115362315,33.454059884178,26.4399175656719,59.3635520277442,8.80509619800071,Fast,98.2389807603999,Li-ion,112,Model B,1
95.5642875768925,3.87933066316485,32.22809191648,35.9336279438274,31.1086465859997,67.3435659375022,12.1868596041612,Fast,97.5626280791678,LiFePO4,398,Model A,1
75.8794547630265,4.11106208511349,91.5629122468933,25.00935797585,30.2032185958032,105.454739320218,13.8323355802953,Slow,97.2335328839409,LiFePO4,175,Model A,2
63.8792635777333,4.01255742048669,32.4591579864556,32.49748199214,18.0779980938755,54.0004386059892,9.31887382899277,Fast,98.1362252342015,LiFePO4,150,Model B,1
24.0416776398193,4.06459280350301,34.4754753515768,31.434919662875,17.9849893948295,106.964968481217,11.6875772385695,Fast,97.6624845522861,Li-ion,886,Model C,2
24.0395068302582,3.9611483566975,78.3458436176167,36.6566075357654,20.3634873548983,28.8134430976692,5.43592597644028,Slow,98.9128148047119,Li-ion,248,Model C,0
15.227525095138,3.9845935951625,50.4765858205486,38.1217412096252,22.2214945268207,97.6798437208631,10.8074502919767,Fast,97.8385099416047,LiFePO4,830,Model B,2
87.9558531197442,4.09443695609572,79.9039501259663,20.2431354295477,23.1691116281697,104.754763305474,14.1395130362541,Fast,97.1720973927492,LiFePO4,221,Model A,2
64.1003510568888,3.67476760620143,15.8829541807947,33.4803983811758,28.5939443366669,38.1817652837339,8.06085124554772,Slow,98.3878297508905,Li-ion,310,Model B,0
73.7265320016441,3.8425974745502,53.8814074306046,21.0367159823946,16.1336086433167,63.03465323722,9.99105016897027,Slow,98.001789966206,Li-ion,379,Model C,1
11.8526044866222,3.65484660927372,13.0252240164954,30.9771733015471,15.6934540845213,36.5499774663656,5.18732034493893,Normal,98.9625359310122,Li-ion,637,Model C,0
97.2918866945795,4.19136760559765,15.6387883109819,25.7526545808736,22.8382112588782,90.6604128994218,13.7072614720578,Fast,97.2585477055884,LiFePO4,784,Model B,2
84.919837672038,4.16084153778063,91.579370800997,26.1355319904428,28.9432738427596,73.5347768061657,11.6806665503045,Normal,97.6638666899391,LiFePO4,255,Model A,1
29.1105199610449,3.52759876795795,22.5320834005836,27.0591700690471,18.8687068591297,83.5323346708321,9.76951239074061,Normal,98.0460975218519,Li-ion,337,Model B,2
26.3642470486391,3.99390262076098,57.9178614047695,32.4258489809922,27.830089625125,39.6486966956211,6.24356285944999,Slow,98.75128742811,LiFePO4,475,Model A,0
26.506405886809,4.14767382219097,46.9986042340636,26.6809993133754,20.196562758806,41.174586205242,6.09058577711272,Fast,98.7818828445775,LiFePO4,181,Model A,1
37.3818018663584,3.62640274158913,41.2608993632958,34.6539810118056,32.7217221762703,24.1497325509906,5.61426685649075,Fast,98.8771466287018,LiFePO4,591,Model B,0
57.2280788469014,3.89756166138684,90.9850011118545,28.0905477114774,32.9137988853323,52.206753519573,8.61649412121669,Slow,98.2767011757567,LiFePO4,455,Model B,1
48.8750516777904,4.14084180831163,11.9641057097941,21.3670640061992,20.9457440856265,75.9744661333675,9.84331129531344,Normal,98.0313377409373,LiFePO4,372,Model A,1
36.2106226178238,3.52376218501006,69.741071755803,35.6751968496821,19.5998750792648,105.793491399733,12.4104152566864,Slow,97.5179169486627,LiFePO4,679,Model A,2
65.0667605250142,3.98819418707279,96.7054990792195,25.7151664918541,23.2260794413246,86.6927447458681,11.7634917463324,Fast,97.6473016507335,LiFePO4,143,Model A,2
22.5544474586838,3.70814430516079,60.4151365115658,28.6553375919852,19.810631703603,63.5396323399751,7.85545861419805,Slow,98.4289082771604,Li-ion,672,Model A,1
36.2930183681696,4.14707733676357,94.3140215829783,33.708877664438,28.4476768658341,115.312011439414,13.1094290882482,Fast,97.3781141823504,Li-ion,222,Model C,2
42.9725658964323,4.17974077161576,14.7032091357421,26.6491231429742,31.5212936909657,91.9245200575832,11.1414611234356,Normal,97.7717077753129,Li-ion,448,Model B,2
51.0462985795332,4.1609865423794,47.6913987166745,21.1317131229343,28.4618426182243,113.016520286255,13.0269439423113,Fast,97.3946112115377,Li-ion,807,Model A,2
80.6658365253712,3.83194995166022,33.4142011865846,27.4784209402563,31.487008944987,72.7587973272166,11.4704459838828,Normal,97.7059108032234,Li-ion,429,Model B,1
27.9706403942524,4.10342985569252,75.7738868482657,38.8889716538861,22.9398432441495,45.890427479314,7.16718289234975,Normal,98.5665634215301,Li-ion,508,Model A,1
56.2810994572251,4.09118457897455,98.3167381447522,32.8346879459712,18.1263394141772,25.2826686364722,6.56267842319916,Fast,98.6874643153602,Li-ion,422,Model B,0
63.3173111975838,3.72337033127028,33.0877056199823,33.4295829733441,29.7590189479518,92.608485148385,12.5547184709118,Fast,97.4890563058176,Li-ion,210,Model B,2
14.1805371447998,4.08024083190547,68.8757141326667,32.6456430727528,22.2094901028311,32.1302998005534,5.01883399425708,Normal,98.9962332011486,Li-ion,869,Model A,0
64.6790366711295,3.52590534430084,27.8287869483766,23.9798427791887,28.4254165045826,50.2775128271967,8.62273670811564,Slow,98.2754526583769,LiFePO4,188,Model A,1
25.3471711318562,3.91738891493744,60.8797229114449,28.3666772820456,20.4128788396353,73.2470907883897,8.7896166530609,Fast,98.2420766693878,LiFePO4,532,Model B,1
15.8546433686752,3.66100618610139,51.7539238019503,35.0187959672664,16.6245926961335,76.4416587779748,8.91381019829497,Normal,98.217237960341,Li-ion,809,Model B,1
95.3996983528,3.5843968200441,97.4804796668383,22.0274579510632,34.8516359097553,80.0583196987136,12.5428844567526,Normal,97.4914231086495,LiFePO4,893,Model B,2
96.9068829767103,3.55386724114045,64.767454542682,25.5570555217942,18.124030158612,36.6255330349701,9.1753246778394,Slow,98.1649350644321,LiFePO4,811,Model C,0
82.7557613304815,3.9874021431147,41.4555734878137,25.5263821693171,34.7684198792696,57.9737404821649,10.2452522151703,Fast,97.9509495569659,Li-ion,198,Model A,1
37.4152392256034,3.73791247463765,20.268620639914,28.6403785518901,34.5455986513289,81.7194227116967,10.1127327815161,Normal,97.9774534436968,Li-ion,638,Model C,2
